method,sigma_pb,dsigma_stat_pb,dsigma_lumi_pb,dsigma_mass_window_pb,dsigma_isolation_pb
none,2248.3350171738853,0.4539482001930883,38.22169529195605,0.8273161272536527,13.726236880230317
wrong_flavour,2246.5548157654416,0.4539482001930883,38.19143186801251,1.1118831534467972,13.438425383021695
wrong_charge,2248.0535988204992,0.4539482001930883,38.21691117994849,0.8786737554569299,13.608259470349822
both_average,2247.3042072929707,0.4539482001930883,38.204171523980506,0.9952784544525457,13.523342426686213
