method,sigma_nominal_pb,dsigma_isolation_pb,max_fractional_shift,sigma_min_pb,sigma_max_pb,max_shift_ptcone,max_shift_etcone,scan_mode,n_scan_points
none,2248.3350171738853,13.726236880230317,0.006105067427844423,2234.608780293655,2257.120647278062,2.5,7.25,local_box,25
wrong_flavour,2246.5548157654416,13.438425383021695,0.005981792782760558,2233.11639038242,2255.0711319325264,2.5,7.25,local_box,25
wrong_charge,2248.0535988204992,13.608259470349822,0.006053351876258536,2234.4453393501494,2256.7293258095165,2.5,7.25,local_box,25
both_average,2247.3042072929707,13.523342426686213,0.006017584260644441,2233.7808648662844,2255.9002288710217,2.5,7.25,local_box,25
