Step,Data,Signal,Background,S/B,Data/MC
Baseline,34029.0,417.5604798767642,5433.832888918472,0.07684455676366479,5.815537916399961
Mass window,8607.0,128.78185401727092,1459.7528687414263,0.08822168243334531,5.4182007334739435
Iso only,18465.0,417.68361065515353,5295.08341259692,0.07888140339045288,3.2322340338480204
Mass + Iso,4626.0,128.36973772597264,1401.556205795505,0.09159085964241559,3.0236757665225245
