scan_mode,scan_order,ptcone_max,etcone_max,is_nominal_scan_point,delta_ptcone_from_nominal,delta_etcone_from_nominal,distance_to_nominal,OS_sig_eff,OS_Data,OS_Signal,OS_Background,OS_Data/MC,OS_S/B,SS_Data,SS_rejection,sigma_defined,sigma_error,extra_bkg_none,sigma_pb_none,sigma_shift_pb_none,sigma_abs_shift_pb_none,sigma_frac_shift_none,epsilon_none,extra_bkg_wrong_flavour,sigma_pb_wrong_flavour,sigma_shift_pb_wrong_flavour,sigma_abs_shift_pb_wrong_flavour,sigma_frac_shift_wrong_flavour,epsilon_wrong_flavour,extra_bkg_wrong_charge,sigma_pb_wrong_charge,sigma_shift_pb_wrong_charge,sigma_abs_shift_pb_wrong_charge,sigma_frac_shift_wrong_charge,epsilon_wrong_charge,extra_bkg_both_average,sigma_pb_both_average,sigma_shift_pb_both_average,sigma_abs_shift_pb_both_average,sigma_frac_shift_both_average,epsilon_both_average
local_box,0,2.5,7.25,False,-2.0,-2.0,2.8284271247461903,0.9612893305800037,18873205.0,19007907.80133581,83676.98844356305,0.98856146348331,227.15812501015046,205858.0,0.14236553764112814,True,,0.0,2195.7796890026425,-7.288621777443041,7.288621777443041,0.0033083957232638915,0.27964370959168294,23928.403649947162,2192.9833665799774,-6.732080465970739,6.732080465970739,0.0030604324186618843,0.27964370959168294,203590.05076845182,2171.9877372985598,-6.733728828330186,6.733728828330186,0.003090679067068048,0.27964370959168294,113759.2272091995,2182.4855519392686,-6.7329046471504626,6.7329046471504626,0.0030754832286810124,0.27964370959168294
local_box,1,2.5,8.25,False,-2.0,-1.0,2.23606797749979,0.9634938473084815,18910898.0,19051498.476264168,84303.92459207366,0.9882469312681563,225.9859024173521,206766.0,0.13858267716535433,True,,0.0,2195.0773432397496,-7.990967540335987,7.990967540335987,0.003627199166378305,0.28028498746881264,24296.62914787542,2192.2444855270937,-7.470961518854438,7.470961518854438,0.0033963308885644164,0.28028498746881264,204431.62204204538,2171.2417035842304,-7.4797625426595005,7.4797625426595005,0.0034330971897735345,0.28028498746881264,114364.1255949604,2181.7430945556625,-7.475362030756514,7.475362030756514,0.0034146258945818575,0.28028498746881264
local_box,2,2.5,9.25,False,-2.0,0.0,2.0,0.9649906517479823,18935936.0,19081095.31030527,84753.63866582725,0.988004030002363,225.13600136437313,207399.0,0.13594550681164852,True,,0.0,2194.5349523806944,-8.53335839939109,8.53335839939109,0.003873397096964964,0.2807204071251289,24597.805151823275,2191.671427602446,-8.044019443502293,8.044019443502293,0.0036568454589455215,0.2807204071251289,205022.3121500572,2170.667519196641,-8.053946930248912,8.053946930248912,0.0036966390864851587,0.2807204071251289,114810.05865094023,2181.169473399543,-8.04898318687583,8.04898318687583,0.003676646870329406,0.2807204071251289
local_box,3,2.5,10.25,False,-2.0,1.0,2.23606797749979,0.9660458457925449,18953419.0,19101960.028630465,85087.48399400269,0.9878236340181704,224.4978830256263,207833.0,0.1341373994917302,True,,0.0,2194.1321166105104,-8.936194169575174,8.936194169575174,0.004056249243769909,0.2810273661647001,24807.86596330141,2191.2472923137584,-8.46815473218976,8.46815473218976,0.003849659165489724,0.2810273661647001,205422.97471525794,2170.2441614979557,-8.477304628934235,8.477304628934235,0.0038909538280743738,0.2810273661647001,115115.42033927968,2180.7457269058573,-8.47272968056177,8.47272968056177,0.0038702074957713615,0.2810273661647001
local_box,4,2.5,11.25,False,-2.0,2.0,2.8284271247461903,0.9668172850208171,18965990.0,19117213.96442156,85367.48128321732,0.9876791854067257,223.94023669267932,208115.0,0.13296254634837312,True,,0.0,2193.8095196887643,-9.2587910913212,9.2587910913212,0.004202679983192509,0.2812517825852307,24977.64852328597,2190.9072695549735,-8.808177490974685,8.808177490974685,0.0040042349581185166,0.2812517825852307,205671.5676912747,2169.911740268399,-8.809725858490765,8.809725858490765,0.004043530114086498,0.2812517825852307,115324.60810728034,2180.4095049116863,-8.808951674732725,8.808951674732725,0.004023788328766537,0.2812517825852307
local_box,5,3.5,7.25,False,-1.0,-2.0,2.23606797749979,0.9742372852684407,19188665.0,19263932.206376478,87109.76960355847,0.9916088768666003,221.14548453115802,211300.0,0.11969337166187555,True,,0.0,2202.576462547606,-0.4918482324796969,0.4918482324796969,0.00022325600621323364,0.28340996657402756,26342.1722139857,2199.538971271216,-0.17647577473235287,0.17647577473235287,8.022663793598691e-05,0.28340996657402756,208597.36732507992,2178.523294935578,-0.19817119131175787,0.19817119131175787,9.095756130041098e-05,0.28340996657402756,117469.76976953281,2189.0311331033968,-0.18732348302228274,0.18732348302228274,8.556637299430157e-05,0.28340996657402756
local_box,6,3.5,8.25,False,-1.0,-1.0,1.4142135623730951,0.9765040567720356,19227626.0,19308753.866595082,87832.85816561495,0.9912891516864145,219.83519914821724,212314.0,0.11546889972086827,True,,0.0,2201.862520007812,-1.2057907722737582,1.2057907722737582,0.0005473233700351303,0.2840693502789574,26802.207513539273,2198.7791562673406,-0.9362907786075993,0.9362907786075993,0.0004256417710140497,0.2840693502789574,209524.14271681936,2177.7585672240707,-0.9628989028192336,0.9628989028192336,0.00044195594424971526,0.2840693502789574,118163.17511517931,2188.2688617457056,-0.9495948407134165,0.9495948407134165,0.00043375974556421863,0.2840693502789574
local_box,7,3.5,9.25,False,-1.0,0.0,1.0,0.9780365061536146,19253469.0,19339055.520455834,88342.96741513508,0.9910472064502328,218.9088286969024,213031.0,0.11248177311169438,True,,0.0,2201.3222574719475,-1.7460533081380163,1.7460533081380163,0.0007925552283577423,0.2845151389793121,27150.96678995494,2198.203665963647,-1.5117810823012405,1.5117810823012405,0.0006872621112569121,0.2845151389793121,210184.5241361111,2177.18021946579,-1.5412466611001037,1.5412466611001037,0.0007074087647559537,0.2845151389793121,118667.74546303303,2187.6919427147186,-1.5265138717004447,1.5265138717004447,0.0006972871378403647,0.2845151389793121
local_box,8,3.5,10.25,False,-1.0,1.0,1.4142135623730951,0.9791192181541323,19271506.0,19360464.360881455,88741.82701231954,0.9908633706601154,218.1661682285823,213539.0,0.1103653709952922,True,,0.0,2200.9117207456193,-2.1565900344662623,2.1565900344662623,0.0009789029345634017,0.28483010313660156,27405.062115373104,2197.767424355084,-1.9480226908640361,1.9480226908640361,0.0008855794023177332,0.28483010313660156,210646.20867105067,2176.7434079420946,-1.9780581847953727,1.9780581847953727,0.0009078986073019072,0.28483010313660156,119025.63539321188,2187.255416148589,-1.9630404378299318,1.9630404378299318,0.0008966854961066061,0.28483010313660156
local_box,9,3.5,11.25,False,-1.0,2.0,2.23606797749979,0.9799103613137651,19284465.0,19376107.909350764,89063.8053211506,0.9907164078837432,217.55311082300437,213869.0,0.1089905428488106,True,,0.0,2200.583508675529,-2.4848021045563655,2.4848021045563655,0.0011278824593852566,0.2850602497980421,27604.572335782075,2197.418878715053,-2.2965683308952975,2.2965683308952975,0.0010440297330181572,0.2850602497980421,210936.38724369905,2176.4014419256405,-2.3200242012494527,2.3200242012494527,0.0010648558052598418,0.2850602497980421,119270.47978974057,2186.9101603203467,-2.308296266072375,2.308296266072375,0.00105439284011502,0.2850602497980421
