Step,Data,Signal,Background,S/B,Data/MC
Baseline,484500.0,480090.61907653767,13803.516793973395,34.78031187574929,0.9809794545263157
Mass window,427808.0,448527.8655847644,4034.145613152848,111.18286462501331,0.9453024986953851
Iso only,457553.0,469149.4510265907,8294.834303944685,56.559231183615374,0.9583379968266568
Mass + Iso,416868.0,439622.53135914647,2287.058207261942,192.22183762671307,0.9433332288829064
