Step,Data,Signal,Background,S/B,Data/MC
Baseline,3104.0,10.176156682601484,328.04494270365177,0.03102061747616816,9.17742862770128
Mass window,958.0,2.19383343240593,115.11524381465522,0.019057714336584108,8.16646096348013
Iso only,1566.0,10.176156682601484,322.1464943119953,0.03158859979008801,4.712287878401228
Mass + Iso,448.0,2.19383343240593,109.75323514117537,0.01998878146584022,4.0018913019194935
