ptcone_max,etcone_max,OS_sig_eff,SS_rejection,OS_Data/MC,OS_S/B,SS_Data,tightness
4.5,9.25,0.995349187822985,0.5450928381962865,1.0025752233255558,313.2642410788991,343.0,13.75
4.5,9.5,0.9956400005642352,0.5411140583554377,1.002685752282647,313.2111736884611,346.0,14.0
4.25,10.0,0.9952411984806182,0.539787798408488,1.0026003351637551,313.62190042679606,347.0,14.25
4.5,9.75,0.9958802431448562,0.5344827586206897,1.0028435956146569,313.2087926849844,351.0,14.25
4.75,8.75,0.9950795391646103,0.53315649867374,1.003015690352891,312.68970243836554,352.0,13.5
4.5,10.0,0.9961245077969825,0.5318302387267905,1.0029699458307377,313.3079671139943,353.0,14.5
4.75,9.0,0.9955443373187239,0.5305039787798409,1.0030070586872912,312.7781093825301,354.0,13.75
5.0,8.75,0.9955378537957573,0.5291777188328912,1.0035402106999984,312.4673738281563,355.0,13.75
5.0,9.0,0.9960026519498707,0.5265251989389921,1.003533367658649,312.555718184117,357.0,14.0
4.75,9.25,0.9959967225568289,0.5251989389920424,1.0029587313979316,312.92023886303934,358.0,14.0
5.25,8.5,0.9953524037270737,0.5238726790450928,1.0039416410581619,312.1961031571207,359.0,13.75
4.75,9.5,0.996287617247277,0.5212201591511936,1.0030689937358197,312.867448360779,361.0,14.25
5.0,9.25,0.9964550371879757,0.5212201591511936,1.0034868525433585,312.697681252905,361.0,14.25
5.5,8.25,0.9951269248117299,0.5198938992042441,1.004228895724489,312.6787404844909,362.0,13.75
5.25,8.75,0.9959099825912663,0.5198938992042441,1.003947483518601,312.37098990873943,362.0,14.0
5.25,9.0,0.9963747807453797,0.5172413793103448,1.003940453418452,312.45929175342474,364.0,14.25
5.0,9.5,0.9967459318784238,0.5172413793103448,1.0035989369426133,312.6450549289554,364.0,14.5
4.75,9.75,0.996527917003351,0.5145888594164456,1.003228612032785,312.8651748478383,366.0,14.5
5.5,8.5,0.9956487030478046,0.513262599469496,1.0043237777842675,312.29073998909683,367.0,14.0
5.25,9.25,0.9968271935335462,0.5119363395225465,1.003895771157367,312.6011666604401,368.0,14.5
4.75,10.0,0.9967721375772588,0.5119363395225465,1.003356857350935,312.96413776261085,368.0,14.75
5.0,9.75,0.9969862316344978,0.5106100795755968,1.0037603806941438,312.64283925438986,369.0,14.75
5.5,8.75,0.9962062819119973,0.5092838196286472,1.0043375193841937,312.4656276935331,370.0,14.25
5.25,9.5,0.9971180882239944,0.5079575596816976,1.0040076940977103,312.5486205801027,371.0,14.75
5.75,8.25,0.995299793000428,0.506631299734748,1.0045912779329493,312.5570610292894,372.0,14.0
5.5,9.0,0.9966710800661107,0.506631299734748,1.0043303098250658,312.5539126115845,372.0,14.5
5.0,10.0,0.997230851578964,0.506631299734748,1.0038880363326985,312.74179580251405,372.0,15.0
5.5,9.25,0.9971234928542774,0.5013262599469497,1.0042895177910633,312.69578829142023,376.0,14.75
5.25,9.75,0.9973583879800684,0.5013262599469497,1.0041689789555361,312.54643032543544,376.0,15.0
5.75,8.5,0.9958215712365028,0.5,1.0046879813891028,312.16949306184836,377.0,14.25
6.0,8.25,0.9954194706132306,0.49734748010610075,1.0049581125362985,312.59464375882635,379.0,14.25
5.5,9.5,0.9974143875447253,0.49734748010610075,1.0044033186085546,312.64319841966756,379.0,15.0
5.25,10.0,0.9976030079245344,0.49734748010610075,1.0042964870671807,312.64531258650663,379.0,15.25
5.75,8.75,0.9963791501006954,0.4960212201591512,1.0047035455916675,312.3442825185187,380.0,14.5
5.75,9.0,0.996843948254809,0.49336870026525204,1.0046961669546057,312.43254015695373,382.0,14.75
6.0,8.5,0.9959413777414899,0.4907161803713528,1.0050544811148785,312.20704992645904,384.0,14.5
5.5,9.75,0.9976546873007994,0.4907161803713528,1.004566485996679,312.6409847031079,384.0,15.25
6.25,8.25,0.9955039356131338,0.48806366047745353,1.0052343072297718,312.6073626145281,386.0,14.5
6.0,8.75,0.9965093267168895,0.48673740053050396,1.0050614411147991,312.3850901987895,387.0,14.75
5.75,9.25,0.9972963610429755,0.48673740053050396,1.0046552166039988,312.5743361490484,387.0,15.0
5.5,10.0,0.9979102386586866,0.48673740053050396,1.0046849137443903,312.7433001100554,387.0,15.5
6.0,9.0,0.996974124871003,0.4840848806366048,1.0050538969064347,312.4733403352943,389.0,15.0
5.75,9.5,0.9975872557334234,0.48275862068965514,1.004768890727485,312.52183161218676,390.0,15.25
6.25,8.5,0.9960258427413934,0.48143236074270557,1.005332550713134,312.2197634425809,391.0,14.75
6.5,8.25,0.9955377304304659,0.480106100795756,1.005573790603587,312.61797483647746,392.0,14.75
6.75,8.0,0.9950543564217216,0.4787798408488063,1.005714587705645,312.7762299701971,393.0,14.75
6.25,8.75,0.9965937917167931,0.47745358090185674,1.0053393521605984,312.3977958661761,394.0,15.0
6.0,9.25,0.9974265376591696,0.4761273209549072,1.0050127901415284,312.615136327389,395.0,15.25
5.75,9.75,0.9978276079348267,0.4761273209549072,1.0049318889492531,312.51966563924606,395.0,15.5
6.75,8.25,0.9956007885107807,0.4748010610079576,1.0058391242842333,312.6377762852448,396.0,15.0
