method,fixed_axis,fixed_value,varying_axis,varying_start,varying_end,delta
wrong_charge,etcone_max,7.25,ptcone_max,3.5,4.5,3.713535029648938
wrong_charge,etcone_max,7.25,ptcone_max,4.5,5.5,3.2570046186388026
wrong_charge,etcone_max,7.25,ptcone_max,5.5,6.5,2.8700032031506453
wrong_charge,etcone_max,8.25,ptcone_max,2.5,3.5,8.459231242648912
wrong_charge,etcone_max,8.25,ptcone_max,3.5,4.5,3.709847812658154
wrong_charge,etcone_max,8.25,ptcone_max,4.5,5.5,3.288134590996833
wrong_charge,etcone_max,8.25,ptcone_max,5.5,6.5,2.9164612902286535
wrong_charge,etcone_max,9.25,ptcone_max,2.5,3.5,8.473313302006318
wrong_charge,etcone_max,9.25,ptcone_max,3.5,4.5,3.7168547832338845
wrong_charge,etcone_max,9.25,ptcone_max,4.5,5.5,3.309297240002252
wrong_charge,etcone_max,9.25,ptcone_max,5.5,6.5,2.939909819750028
wrong_charge,etcone_max,10.25,ptcone_max,2.5,3.5,8.481319342610277
wrong_charge,etcone_max,10.25,ptcone_max,3.5,4.5,3.7267216337454556
wrong_charge,etcone_max,10.25,ptcone_max,4.5,5.5,3.315082044436622
wrong_charge,etcone_max,10.25,ptcone_max,5.5,6.5,2.959844618508214
wrong_charge,etcone_max,11.25,ptcone_max,2.5,3.5,8.486387186109368
wrong_charge,etcone_max,11.25,ptcone_max,3.5,4.5,3.7322116172204005
wrong_charge,etcone_max,11.25,ptcone_max,4.5,5.5,3.320506199398551
wrong_charge,etcone_max,11.25,ptcone_max,5.5,6.5,2.970055545159539
wrong_charge,ptcone_max,2.5,etcone_max,7.25,8.25,0.5984158528517582
wrong_charge,ptcone_max,2.5,etcone_max,8.25,9.25,0.819675532257861
wrong_charge,ptcone_max,2.5,etcone_max,9.25,10.25,1.0678940096659062
wrong_charge,ptcone_max,2.5,etcone_max,10.25,11.25,1.288840516703658
wrong_charge,ptcone_max,3.5,etcone_max,7.25,8.25,0.6134219109239893
wrong_charge,ptcone_max,3.5,etcone_max,8.25,9.25,0.8337575916152673
wrong_charge,ptcone_max,3.5,etcone_max,9.25,10.25,1.0759000502698655
wrong_charge,ptcone_max,3.5,etcone_max,10.25,11.25,1.2939083602027495
wrong_charge,ptcone_max,4.5,etcone_max,7.25,8.25,0.6097346939332056
wrong_charge,ptcone_max,4.5,etcone_max,8.25,9.25,0.8407645621909978
wrong_charge,ptcone_max,4.5,etcone_max,9.25,10.25,1.0857669007814366
wrong_charge,ptcone_max,4.5,etcone_max,10.25,11.25,1.2993983436776944
wrong_charge,ptcone_max,5.5,etcone_max,7.25,8.25,0.6408646662912361
wrong_charge,ptcone_max,5.5,etcone_max,8.25,9.25,0.8619272111964165
wrong_charge,ptcone_max,5.5,etcone_max,9.25,10.25,1.0915517052158066
wrong_charge,ptcone_max,5.5,etcone_max,10.25,11.25,1.3048224986396235
wrong_charge,ptcone_max,6.5,etcone_max,7.25,8.25,0.6873227533692443
wrong_charge,ptcone_max,6.5,etcone_max,8.25,9.25,0.8853757407177909
wrong_charge,ptcone_max,6.5,etcone_max,9.25,10.25,1.1114865039739925
wrong_charge,ptcone_max,6.5,etcone_max,10.25,11.25,1.3150334252909488
both_average,etcone_max,7.25,ptcone_max,2.5,3.5,8.406585729474045
both_average,etcone_max,7.25,ptcone_max,3.5,4.5,3.67975559181923
both_average,etcone_max,7.25,ptcone_max,4.5,5.5,3.2261779706836933
both_average,etcone_max,7.25,ptcone_max,5.5,6.5,2.837685908856656
both_average,etcone_max,8.25,ptcone_max,2.5,3.5,8.41992149422913
both_average,etcone_max,8.25,ptcone_max,3.5,4.5,3.6747833645235914
