method,sigma_nominal_pb,dsigma_isolation_pb,max_fractional_shift,sigma_min_pb,sigma_max_pb,max_shift_ptcone,max_shift_etcone,scan_mode,n_scan_points
none,2203.0683107800855,9.2587910913212,0.004202679983192509,2193.8095196887643,2204.621895815466,2.5,11.25,local_box,25
wrong_flavour,2199.715447045948,8.808177490974685,0.0040042349581185166,2190.9072695549735,2201.160963975756,2.5,11.25,local_box,25
wrong_charge,2178.72146612689,8.809725858490765,0.004043530114086498,2169.911740268399,2180.1965934823183,2.5,11.25,local_box,25
both_average,2189.218456586419,8.808951674732725,0.004023788328766537,2180.4095049116863,2190.678778729037,2.5,11.25,local_box,25
