Step,Data,Signal,Background,S/B,Data/MC
Baseline,484500.0,480090.61907653767,13803.516793973395,34.78031187574929,0.9809794545263157
Mass window,436671.0,455336.98512240045,5982.341925887571,76.11350049250893,0.946569923254683
Iso only,457553.0,469149.4510265907,8294.834303944685,56.559231183615374,0.9583379968266568
Mass + Iso,424787.0,446296.07236369036,3555.821531977146,125.51138136438924,0.9442818975849845
