ptcone_max,etcone_max,OS_sig_eff,SS_rejection,OS_Data/MC,OS_S/B,SS_Data,tightness
3.75,9.0,0.9801445675310566,0.24786242674608516,0.9442818975849845,125.51138136438924,7829.0,12.75
3.75,9.25,0.9805587798711819,0.2471899317897973,0.9441890725982336,125.35244161504001,7836.0,13.0
3.75,9.5,0.980936751601749,0.2464213661254684,0.9441095642731268,125.31516424779136,7844.0,13.25
4.0,8.25,0.9803592755121179,0.24613315400134494,0.9448510879070368,125.74188409112668,7847.0,12.25
4.0,8.5,0.9808527905708652,0.24555672975309828,0.9447502179756679,125.42800779829058,7853.0,12.5
3.75,9.75,0.9812254906016418,0.24555672975309828,0.9441014811311471,125.18409241094894,7853.0,13.5
3.75,10.0,0.9814303737801697,0.24488423479681043,0.9440944371935633,125.09525793650867,7860.0,13.75
4.25,7.5,0.980129726006515,0.24478816408876936,0.9451564047998625,126.64035845412108,7861.0,11.75
4.0,8.75,0.9812435162465392,0.24421173984052258,0.9446399936264682,124.53173622690169,7867.0,12.75
4.25,7.75,0.9806733929985046,0.24363531559227591,0.9451539102247161,126.32573779693286,7873.0,12.0
4.0,9.0,0.9816452728662848,0.24305889134402925,0.9446259397137655,124.41661517460521,7879.0,13.0
4.25,8.0,0.9811625686913501,0.2427706792199058,0.9451769341081367,126.08273139438923,7882.0,12.25
4.5,7.25,0.9801736464538945,0.24267460851186473,0.9456111486399219,125.90778387805628,7883.0,11.75
4.0,9.25,0.9820600475561129,0.2423863963877414,0.9445347963741689,124.26120039040512,7886.0,13.25
4.25,8.25,0.9816538472141805,0.24171390143145355,0.9451549163351872,125.78956690059803,7893.0,12.5
4.0,9.5,0.9824419741023167,0.24161783072341247,0.9444537233233328,124.18896073157784,7894.0,13.5
4.5,7.5,0.9810522073863119,0.24113747718320688,0.9453917885088285,125.77726753407842,7899.0,12.0
4.25,8.5,0.982147628216266,0.2410414064751657,0.9450546173468692,125.45291508539496,7900.0,12.75
4.0,9.75,0.9827326002822432,0.2406571236430013,0.9444422422811924,124.03623125326821,7904.0,13.75
4.75,7.0,0.9802225646356671,0.23998462868671344,0.9459885246832491,125.6456109760569,7911.0,11.75
4.5,7.75,0.9816114179054908,0.23998462868671344,0.9453734659625243,125.45550217618275,7911.0,12.25
4.0,10.0,0.9829380029043953,0.23988855797867226,0.9444388515487635,123.9457985496433,7912.0,14.0
5.0,6.75,0.9801238993999937,0.23960034585454892,0.9462398504015606,124.50532956248956,7915.0,11.75
4.25,8.75,0.9825392009962169,0.23950427514650785,0.9449466188332472,124.5709652386506,7916.0,13.0
4.5,8.0,0.9821248373304583,0.23892785089826107,0.945377567352163,125.2183864022176,7922.0,12.5
4.25,9.0,0.9829409576159627,0.2383514266500144,0.9449344902446865,124.4528990935164,7928.0,13.25
4.75,7.25,0.9810979121059287,0.23815928523393215,0.9458032233414927,125.29584255717275,7930.0,12.0
4.5,8.25,0.9826153434962147,0.23787107310980882,0.9453604350424984,124.92642230946977,7933.0,12.75
4.25,9.25,0.983356033539714,0.23758286098568548,0.9448460003524771,124.27327784101473,7936.0,13.5
5.25,6.75,0.9807425265802473,0.23719857815352097,0.9464246997441139,123.01562850173597,7940.0,12.0
4.5,8.5,0.9831094013063079,0.23719857815352097,0.945261266481602,124.58162138723655,7940.0,13.0
4.25,9.5,0.9837393175457488,0.23681429532135656,0.9447636185136437,124.20128597664537,7944.0,13.75
4.75,7.5,0.9819765236417839,0.23652608319723312,0.9455875652883063,125.19215484423145,7947.0,12.25
5.0,7.0,0.981132817782011,0.23633394178115097,0.9460575194842008,124.6920077885983,7949.0,12.0
5.5,6.5,0.9802502234182955,0.23633394178115097,0.9467095751932895,122.59830577182619,7949.0,12.0
4.5,8.75,0.9835012274588664,0.23566144682486312,0.9451520378187441,123.6966278164826,7956.0,13.25
4.25,9.75,0.9840300114395593,0.23566144682486312,0.9447505598426696,124.02519643788357,7956.0,14.0
4.75,7.75,0.9825369548918763,0.2353732347007398,0.945566762687751,124.85392721321422,7959.0,12.5
4.25,10.0,0.9842352688785253,0.2348928811605342,0.9447560996540627,123.93488293581568,7964.0,14.25
5.0,7.25,0.9820086771743526,0.23450859832836968,0.9458687818609707,124.2982221476595,7968.0,12.25
4.5,9.0,0.9839047505814965,0.2344125276203286,0.9451424200793668,123.57827357478102,7969.0,13.5
4.75,8.0,0.9830552179792624,0.23431645691228742,0.9455705668308408,124.62022408135236,7970.0,12.75
5.25,7.0,0.9817590141957453,0.23374003266404075,0.9462373371114005,123.2008823383917,7976.0,12.25
4.5,9.25,0.9843211885069468,0.23364396195599957,0.9450543381749837,123.39359743378789,7977.0,13.75
5.5,6.75,0.9812901343422816,0.23345182053991742,0.9466249612320982,122.16691713191501,7979.0,12.25
4.75,8.25,0.9835466269980502,0.23325967912383516,0.9455502851866949,124.29538885557614,7981.0,13.0
5.0,7.5,0.9828879831660623,0.23287539629167064,0.9456493403544944,124.14341481957129,7985.0,12.5
4.5,9.5,0.9847045250752394,0.23287539629167064,0.944968445370803,123.2310028841734,7985.0,14.0
5.75,6.5,0.9807285009415218,0.23277932558362957,0.9468689124337835,121.84187977450343,7986.0,12.25
4.75,8.5,0.9840406848081433,0.2325871841675473,0.9454598306418344,123.95239865020115,7988.0,13.25
5.25,7.25,0.9826354696349558,0.23191468921125946,0.9460554649182755,122.83109275349068,7995.0,12.5
5.0,7.75,0.9834588782577962,0.2317225477951772,0.9456273772713301,123.81263166679925,7997.0,12.75
4.5,9.75,0.9849960709718643,0.2317225477951772,0.9449589500844459,123.0582113561577,7997.0,14.25
4.75,8.75,0.9844413998583924,0.23105005283888946,0.9453390873186882,123.02897844486456,8004.0,13.5
4.5,10.0,0.9851991796124184,0.23095398213084828,0.9449686950947916,122.9693186689348,8005.0,14.5
5.0,8.0,0.9839771994446155,0.23066577000672495,0.9456376663105677,123.58251042717869,8008.0,13.0
5.25,7.5,0.9835112879966739,0.23028148717456043,0.9458496588328155,122.66870879165889,8012.0,12.75
5.5,7.0,0.9823070871558153,0.22989720434239602,0.946436988135507,122.34924017912049,8016.0,12.5
5.75,6.75,0.9817684876677486,0.22980113363435484,0.9467855783315464,121.40520359703557,8017.0,12.5
