Step,Data,Signal,Background,S/B,Data/MC
Baseline,28137180.0,26338967.014130034,258351.4893366066,101.95012647987079,1.0578953662690718
Mass window,25225570.0,24561765.011028,77841.94549650888,315.53380191569806,1.0237813470202424
Iso only,27078241.0,26209034.95904808,256428.40549653413,102.20800191109218,1.0231538600709449
Mass + Iso,24812658.0,24438044.010613825,77183.44059119519,316.62288987673907,1.01213248171517
