Step,Data,Signal,Background,S/B,Data/MC
Baseline,17703.0,9329.521220730929,7599.466104139902,1.2276548237577583,1.0457211444651533
Mass window,10409.0,8521.676611560397,3233.9538094027394,2.635064417674604,0.8854480472130386
Iso only,10703.0,8911.391265781447,2748.7113686084526,3.2420251058563774,0.9179164485596333
Mass + Iso,7829.0,8265.23758292564,970.7665845501815,8.514134823414276,0.8476609427667298
