Step,Data,Signal,Background,S/B,Data/MC
Baseline,570369.0,528405.6373256169,5143.18206196322,102.73904966994645,1.0690099561173856
Mass window,502352.0,493269.40813571855,1579.9836593936461,312.1990567453221,1.0151613972438593
Iso only,541549.0,525999.6465656935,5104.958906242265,103.03699916614595,1.0196654188656176
Mass + Iso,493811.0,490975.30476581195,1567.2880603124897,313.2642410788991,1.0025752233255558
