method,extra_bkg,sigma_pb,sigma_shift_pb,dsigma_stat_pb,dsigma_lumi_pb,epsilon,N_selected,N_bkg_total,N_sig_data,sigma_valid,sigma_error
none,0.0,2203.0683107800855,0.0,0.506268505936474,37.452161283261454,0.2862819672944199,19390459.0,91077.85912001003,19299381.14087999,True,
wrong_flavour,29371.85143189755,2199.715447045948,-3.3528637341373724,0.506268505936474,37.39516259978112,0.2862819672944199,19390459.0,120449.71055190758,19270009.289448094,True,
wrong_charge,213283.91509268963,2178.72146612689,-24.346844653195603,0.506268505936474,37.03826492415713,0.2862819672944199,19390459.0,304361.7742126997,19086097.2257873,True,
both_average,121327.88326229359,2189.218456586419,-13.849854193666488,0.506268505936474,37.216713761969125,0.2862819672944199,19390459.0,212405.74238230364,19178053.257617697,True,
