region,N_data,N_MC,residual,clipped_residual
ep_mum,103852.0,75680.85443841692,28171.14556158308,28171.14556158308
mup_em,105719.0,75146.44269778798,30572.557302212022,30572.557302212022
ee_ss,216569.0,3285.084907310382,213283.91509268963,213283.91509268963
mumu_ss,4626.0,678.8165784311581,3947.183421568842,3947.183421568842
