region,N_data,N_MC,residual,clipped_residual
ep_mum,103852.0,84263.64649796403,19588.35350203597,19588.35350203597
mup_em,105719.0,86136.94880257417,19582.051197425826,19582.051197425826
ee_ss,216569.0,3283.2051927489797,213285.79480725102,213285.79480725102
mumu_ss,4626.0,1529.9259435214778,3096.074056478522,3096.074056478522
