method,extra_bkg,sigma_pb,sigma_shift_pb,dsigma_stat_pb,dsigma_lumi_pb,epsilon,N_selected,N_bkg_total,N_sig_data,sigma_valid,sigma_error
none,0.0,2248.3350171738853,0.0,0.4539482001930883,38.22169529195605,0.3595319548895429,24812658.0,77200.51048308381,24735457.489516918,True,
wrong_flavour,19585.2023497309,2246.5548157654416,-1.780201408443645,0.4539482001930883,38.19143186801251,0.3595319548895429,24812658.0,96785.71283281471,24715872.287167184,True,
wrong_charge,3096.074056478522,2248.0535988204992,-0.28141835338601595,0.4539482001930883,38.21691117994849,0.3595319548895429,24812658.0,80296.58453956233,24732361.415460438,True,
both_average,11340.63820310471,2247.3042072929707,-1.0308098809146031,0.4539482001930883,38.204171523980506,0.3595319548895429,24812658.0,88541.14868618852,24724116.85131381,True,
