ptcone_max,etcone_max,OS_sig_eff,SS_rejection,OS_Data/MC,OS_S/B,SS_Data
0.0,0.0,0.0,1.0,,inf,0.0
0.0,0.25,0.0,1.0,,inf,0.0
0.0,0.5,0.0,1.0,,inf,0.0
0.0,0.75,0.0,1.0,,inf,0.0
0.0,1.0,0.0,1.0,,inf,0.0
0.0,1.25,0.0,1.0,,inf,0.0
0.0,1.5,0.0,1.0,,inf,0.0
0.0,1.75,0.0,1.0,,inf,0.0
0.0,2.0,0.0,1.0,,inf,0.0
0.0,2.25,0.0,1.0,,inf,0.0
0.0,2.5,0.0,1.0,,inf,0.0
0.0,2.75,0.0,1.0,,inf,0.0
0.0,3.0,0.0,1.0,,inf,0.0
0.0,3.25,0.0,1.0,,inf,0.0
0.0,3.5,0.0,1.0,,inf,0.0
0.0,3.75,0.0,1.0,,inf,0.0
0.0,4.0,0.0,1.0,,inf,0.0
0.0,4.25,0.0,1.0,,inf,0.0
0.0,4.5,0.0,1.0,,inf,0.0
0.0,4.75,0.0,1.0,,inf,0.0
0.0,5.0,0.0,1.0,,inf,0.0
0.0,5.25,0.0,1.0,,inf,0.0
0.0,5.5,0.0,1.0,,inf,0.0
0.0,5.75,0.0,1.0,,inf,0.0
0.0,6.0,0.0,1.0,,inf,0.0
0.0,6.25,0.0,1.0,,inf,0.0
0.0,6.5,0.0,1.0,,inf,0.0
0.0,6.75,0.0,1.0,,inf,0.0
0.0,7.0,0.0,1.0,,inf,0.0
0.0,7.25,0.0,1.0,,inf,0.0
0.0,7.5,0.0,1.0,,inf,0.0
0.0,7.75,0.0,1.0,,inf,0.0
0.0,8.0,0.0,1.0,,inf,0.0
0.0,8.25,0.0,1.0,,inf,0.0
0.0,8.5,0.0,1.0,,inf,0.0
0.0,8.75,0.0,1.0,,inf,0.0
0.0,9.0,0.0,1.0,,inf,0.0
0.0,9.25,0.0,1.0,,inf,0.0
0.0,9.5,0.0,1.0,,inf,0.0
0.0,9.75,0.0,1.0,,inf,0.0
0.0,10.0,0.0,1.0,,inf,0.0
0.25,0.0,0.22010510922242338,0.9613778705636743,0.9746637517096846,200.16347707278751,37.0
0.25,0.25,0.3138189988171349,0.9498956158663883,1.0006503271346758,212.3526397328619,48.0
0.25,0.5,0.3993059050508231,0.9311064718162839,0.9945075784574802,218.18672584357734,66.0
0.25,0.75,0.47408036490017536,0.918580375782881,0.9874927194790011,220.59571395342388,78.0
0.25,1.0,0.5389731344385621,0.9029227557411273,0.9811079342619908,223.00015398231892,93.0
0.25,1.25,0.5932226064359374,0.8893528183716075,0.9812571239811905,220.79750677728038,106.0
0.25,1.5,0.6405372744868162,0.8757828810020877,0.9790949409541907,221.81181466275405,119.0
0.25,1.75,0.6818957465458396,0.8663883089770354,0.9772197538581335,219.72678104374245,128.0
0.25,2.0,0.7164359650216751,0.8590814196242171,0.9769302830158029,217.5177057158524,135.0
0.25,2.25,0.7459274065153317,0.8455114822546973,0.9754271951698066,216.84011591872297,148.0
0.25,2.5,0.7704284947219975,0.8382045929018789,0.9737323899149415,217.31580474484224,155.0
0.25,2.75,0.7899314244370087,0.8340292275574113,0.9733852122371813,215.66256242397515,159.0
0.25,3.0,0.8067655678704828,0.824634655532359,0.9716357482370155,215.11930815133894,168.0
0.25,3.25,0.8205428505086125,0.8194154488517745,0.9704482804740739,215.31522457342612,173.0
0.25,3.5,0.8321688843195011,0.8141962421711899,0.9689977006490373,214.20760225513476,178.0
0.25,3.75,0.8410298144425465,0.8089770354906054,0.9681045250363975,214.15729493154987,183.0
0.25,4.0,0.8488507327294712,0.8048016701461378,0.9670938248948346,214.0388201644288,187.0
0.25,4.25,0.8549497965196318,0.8016701461377871,0.9667091502663921,213.70666278591196,190.0
0.25,4.5,0.8600731244573566,0.7954070981210856,0.9662473059367944,213.53639157474214,196.0
0.25,4.75,0.8644006632116478,0.7933194154488518,0.9659938878948799,213.3587240025099,198.0
0.25,5.0,0.8681955361892545,0.7901878914405011,0.9653399497509368,213.14074724734144,201.0
0.25,5.25,0.8712842049902957,0.7891440501043842,0.9648596885575281,212.94328482736034,202.0
0.25,5.5,0.8740007150834325,0.7860125260960333,0.9646296435839141,212.96672825091304,205.0
0.25,5.75,0.8763652239490959,0.7818371607515657,0.9641652342178612,212.94088653387885,209.0
0.25,6.0,0.8782857103722748,0.7776617954070981,0.9640063522527985,212.88345652197998,213.0
0.25,6.25,0.8800089730854124,0.7755741127348643,0.9637827941162586,212.6719453034261,215.0
0.25,6.5,0.8814339083660939,0.7755741127348643,0.9636108512801547,212.56883757866908,215.0
0.25,6.75,0.8827667397522934,0.7724425887265136,0.9634298310373615,212.69233557721552,218.0
0.25,7.0,0.8837309726190022,0.7713987473903967,0.9634376851794536,212.62488840574687,219.0
0.25,7.25,0.8846901675293036,0.7620041753653445,0.9633157330107606,212.64810160211928,228.0
0.25,7.5,0.8855124376768939,0.7588726513569938,0.9632173337811046,212.57403542087292,231.0
0.25,7.75,0.8862074968570944,0.7536534446764092,0.9631484890392524,212.34231465196922,236.0
0.25,8.0,0.8867697670377512,0.7526096033402923,0.9631756044407752,212.26376246811304,237.0
0.25,8.25,0.8872960108883969,0.7515657620041754,0.9632323133569481,212.1613981557115,238.0
0.25,8.5,0.8877565382545252,0.7473903966597077,0.9632807811102858,211.90565022690063,242.0
0.25,8.75,0.8882337366499586,0.7453027139874739,0.9632902638858815,211.93276667712485,244.0
0.25,9.0,0.8886550118645464,0.7432150313152401,0.9632737840482081,211.89006716062758,246.0
0.25,9.25,0.8890108557812818,0.7411273486430063,0.9632772304092695,211.8704416220004,248.0
0.25,9.5,0.8892697561630193,0.7379958246346555,0.9633770320785779,211.7600073358733,251.0
0.25,9.75,0.8894888462375751,0.7338204592901879,0.9635158195570034,211.77283384048292,255.0
0.25,10.0,0.8897080442649636,0.731732776617954,0.9636555046059446,211.83630295003448,257.0
0.5,0.0,0.22010510922242338,0.9613778705636743,0.9746637517096846,200.16347707278751,37.0
0.5,0.25,0.3138189988171349,0.9498956158663883,1.0006503271346758,212.3526397328619,48.0
0.5,0.5,0.3993059050508231,0.9311064718162839,0.9945075784574802,218.18672584357734,66.0
0.5,0.75,0.47408036490017536,0.918580375782881,0.9874927194790011,220.59571395342388,78.0
0.5,1.0,0.5389731344385621,0.9029227557411273,0.9811079342619908,223.00015398231892,93.0
0.5,1.25,0.5932226064359374,0.8893528183716075,0.9812571239811905,220.79750677728038,106.0
0.5,1.5,0.6405372744868162,0.8757828810020877,0.9790949409541907,221.81181466275405,119.0
0.5,1.75,0.6818957465458396,0.8663883089770354,0.9772197538581335,219.72678104374245,128.0
0.5,2.0,0.7164359650216751,0.8590814196242171,0.9769302830158029,217.5177057158524,135.0
0.5,2.25,0.7459274065153317,0.8455114822546973,0.9754271951698066,216.84011591872297,148.0
0.5,2.5,0.7704284947219975,0.8382045929018789,0.9737323899149415,217.31580474484224,155.0
0.5,2.75,0.7899314244370087,0.8340292275574113,0.9733852122371813,215.66256242397515,159.0
0.5,3.0,0.8067655678704828,0.824634655532359,0.9716357482370155,215.11930815133894,168.0
0.5,3.25,0.8205428505086125,0.8194154488517745,0.9704482804740739,215.31522457342612,173.0
0.5,3.5,0.8321688843195011,0.8141962421711899,0.9689977006490373,214.20760225513476,178.0
0.5,3.75,0.8410298144425465,0.8089770354906054,0.9681045250363975,214.15729493154987,183.0
0.5,4.0,0.8488507327294712,0.8048016701461378,0.9670938248948346,214.0388201644288,187.0
0.5,4.25,0.8549497965196318,0.8016701461377871,0.9667091502663921,213.70666278591196,190.0
0.5,4.5,0.8600731244573566,0.7954070981210856,0.9662473059367944,213.53639157474214,196.0
0.5,4.75,0.8644006632116478,0.7933194154488518,0.9659938878948799,213.3587240025099,198.0
0.5,5.0,0.8681955361892545,0.7901878914405011,0.9653399497509368,213.14074724734144,201.0
0.5,5.25,0.8712842049902957,0.7891440501043842,0.9648596885575281,212.94328482736034,202.0
0.5,5.5,0.8740007150834325,0.7860125260960333,0.9646296435839141,212.96672825091304,205.0
0.5,5.75,0.8763652239490959,0.7818371607515657,0.9641652342178612,212.94088653387885,209.0
0.5,6.0,0.8782857103722748,0.7776617954070981,0.9640063522527985,212.88345652197998,213.0
0.5,6.25,0.8800089730854124,0.7755741127348643,0.9637827941162586,212.6719453034261,215.0
0.5,6.5,0.8814339083660939,0.7755741127348643,0.9636108512801547,212.56883757866908,215.0
0.5,6.75,0.8827667397522934,0.7724425887265136,0.9634298310373615,212.69233557721552,218.0
0.5,7.0,0.8837309726190022,0.7713987473903967,0.9634376851794536,212.62488840574687,219.0
0.5,7.25,0.8846901675293036,0.7620041753653445,0.9633157330107606,212.64810160211928,228.0
0.5,7.5,0.8855124376768939,0.7588726513569938,0.9632173337811046,212.57403542087292,231.0
0.5,7.75,0.8862074968570944,0.7536534446764092,0.9631484890392524,212.34231465196922,236.0
0.5,8.0,0.8867697670377512,0.7526096033402923,0.9631756044407752,212.26376246811304,237.0
0.5,8.25,0.8872960108883969,0.7515657620041754,0.9632323133569481,212.1613981557115,238.0
