ptcone_max,etcone_max,OS_sig_eff,SS_rejection,OS_Data/MC,OS_S/B,SS_Data,tightness
4.5,9.25,0.9952895998821649,0.5323590814196242,1.0035473336856044,196.85528055860934,448.0,13.75
4.5,9.5,0.9955857314183466,0.5292275574112735,1.003653620418149,196.7478310711173,451.0,14.0
4.25,10.0,0.9951865107537254,0.5292275574112735,1.0035809249215002,196.91687774736215,451.0,14.25
4.75,8.75,0.9950294593673917,0.524008350730689,1.0039973955836885,196.76976934160314,456.0,13.5
4.5,9.75,0.9958342586696542,0.5229645093945721,1.0038070853345769,196.76660677047715,457.0,14.25
4.75,9.0,0.9954928371791713,0.5208768267223383,1.0039865433433235,196.72869731392035,459.0,13.75
4.5,10.0,0.9960816587916297,0.5198329853862214,1.0039366520376676,196.82418978873594,460.0,14.5
5.0,8.75,0.9954926883349823,0.5187891440501045,1.0045160470554162,196.6467778055672,461.0,13.75
4.75,9.25,0.9959405053047431,0.5167014613778705,1.0039368856268722,196.73676266680667,463.0,14.0
5.0,9.0,0.9959560661467617,0.5156576200417536,1.0045069551145873,196.6058333393891,464.0,14.0
5.25,8.5,0.9953207400654234,0.5146137787056367,1.0048946229304152,196.61619585252808,465.0,13.75
4.75,9.5,0.9962370824627419,0.5135699373695198,1.004044535392462,196.62963569055427,466.0,14.25
5.0,9.25,0.9964037342723338,0.511482254697286,1.0044590831113682,196.61394004682356,468.0,14.25
5.25,8.75,0.9958733558350323,0.5104384133611691,1.004909785083225,196.59982737793632,469.0,14.0
5.5,8.25,0.9950864388396075,0.5093945720250521,1.0051883026526955,196.89097044826553,470.0,13.75
5.0,9.5,0.9967003114303324,0.5083507306889352,1.0045685212590458,196.50703293490972,471.0,14.5
5.25,9.0,0.9963367336468117,0.5073068893528183,1.0049005130925155,196.5589399130863,472.0,14.25
4.75,9.75,0.9964856660948109,0.5073068893528183,1.0041997417063793,196.64841717022315,472.0,14.5
5.5,8.5,0.9956131126583079,0.5041753653444676,1.0052802741493572,196.67461675802565,475.0,14.0
4.75,10.0,0.996733022751219,0.5041753653444676,1.004331165552728,196.70591418244283,475.0,14.75
5.25,9.25,0.9967844289395221,0.5031315240083507,1.004854450921076,196.56706607371484,476.0,14.5
5.0,9.75,0.9969488950624015,0.5020876826722338,1.004725519646208,196.52581283984176,477.0,14.75
5.5,8.75,0.9961657284279168,0.5,1.0053032043901466,196.65821094897333,479.0,14.25
5.25,9.5,0.9970810060975208,0.5,1.0049637284645005,196.46026461696914,479.0,14.75
5.0,10.0,0.9971966455384462,0.4979123173277662,1.0048563575481908,196.5833195320717,481.0,15.0
5.5,9.0,0.9966291062396962,0.4968684759916493,1.005293751773064,196.6172840561426,482.0,14.5
5.75,8.25,0.9952581380705086,0.4947807933194155,1.0055595773152597,196.85611151490968,484.0,14.0
5.25,9.75,0.9973295897295898,0.4937369519832986,1.0051205684201598,196.47904007396608,485.0,15.0
5.5,9.25,0.9970768015324065,0.4926931106471816,1.0052515162093585,196.62538645046448,486.0,14.75
5.75,8.5,0.995784848224134,0.48956158663883087,1.0056532953481472,196.63989720455666,489.0,14.25
5.5,9.5,0.9973733786904053,0.48956158663883087,1.0053626369492203,196.5185356079917,489.0,15.0
5.25,10.0,0.9975773402056346,0.48956158663883087,1.0052512587078246,196.5365090710059,489.0,15.25
6.0,8.25,0.9953756709201411,0.48538622129436326,1.0059278092150121,196.83267177373236,493.0,14.25
5.75,8.75,0.9963374639937428,0.48538622129436326,1.0056780108716301,196.62351926416179,493.0,14.5
5.5,9.75,0.9976219623224744,0.48329853862212946,1.0055213257026012,196.5373021718115,495.0,15.25
5.75,9.0,0.9968008418055223,0.48225469728601256,1.0056683852628245,196.58262997265805,496.0,14.75
6.0,8.5,0.9959025081744564,0.48016701461377875,1.0060211915945283,196.61657186524576,498.0,14.5
5.5,10.0,0.9978804922743056,0.47912317327766174,1.0056430637597256,196.59689764309832,499.0,15.5
6.25,8.25,0.9954561261893783,0.47703549060542794,1.0062164251263432,196.84318343930576,501.0,14.5
5.75,9.25,0.9972485370982326,0.47703549060542794,1.005625988903951,196.5907436719972,501.0,15.0
6.0,8.75,0.9964653499192757,0.47599164926931103,1.0060374240087229,196.6022302563046,502.0,14.75
5.75,9.5,0.9975451142562313,0.47390396659707723,1.0057389719353513,196.48395913269678,504.0,15.25
6.0,9.0,0.9969287277310552,0.47286012526096033,1.0060276322048392,196.5613649509181,505.0,15.0
6.25,8.5,0.9959829634436935,0.4718162839248434,1.0063116427368755,196.62707235247515,506.0,14.75
6.5,8.25,0.9954894590099306,0.4707724425887265,1.0065623417239127,196.84259759898117,507.0,14.75
6.75,8.0,0.9950259562389991,0.4707724425887265,1.0066835524682554,196.92582209371463,507.0,14.75
6.25,8.75,0.9965458051885129,0.4676409185803758,1.0063277096930834,196.61272443954294,510.0,15.0
5.75,9.75,0.9977937496046826,0.4676409185803758,1.0058974877865674,196.50273466298896,510.0,15.5
6.0,9.25,0.9973764230237655,0.4665970772442589,1.00598508012418,196.56948539981548,511.0,15.25
6.5,8.5,0.9960162708106564,0.465553235908142,1.0066573968505692,196.62649030656175,512.0,15.0
6.75,8.25,0.9955669984375533,0.465553235908142,1.0068199783509255,196.85773290895906,512.0,15.0
6.25,9.0,0.9970091830002925,0.464509394572025,1.006319778416203,196.57185319366465,513.0,15.25
6.0,9.5,0.9976730001817643,0.4634655532359081,1.0060979408773094,196.46274393679403,514.0,15.5
5.75,10.0,0.9980522795565138,0.4634655532359081,1.006023093669034,196.56230787012632,514.0,15.75
7.0,8.0,0.9950648940974788,0.4613778705636743,1.0069511696939735,196.89419392663999,516.0,15.0
6.5,8.75,0.9965768322182258,0.4613778705636743,1.0066775554800733,196.61169340575307,516.0,15.25
6.75,8.5,0.9960934923842247,0.4603340292275574,1.006917204905618,196.6415384707958,517.0,15.25
6.25,9.25,0.9974568782930027,0.4582463465553236,1.0062790927566194,196.5799691459506,519.0,15.5
6.5,9.0,0.9970404260581449,0.4582463465553236,1.006673234275132,196.57086692994974,519.0,15.5
6.0,9.75,0.9979216355302156,0.4572025052192067,1.006258340194597,196.4815182930019,520.0,15.75
7.0,8.25,0.9956059362960329,0.4561586638830898,1.007091439802016,196.82614644212563,521.0,15.25
6.75,8.75,0.9966540537917942,0.4551148225469729,1.0069372157547807,196.62673198857343,522.0,15.5
6.25,9.5,0.9977534554510015,0.4551148225469729,1.0063918562375231,196.47322179038775,522.0,15.75
6.5,9.25,0.9974881213508553,0.4519832985386222,1.0066343853284656,196.57898298927185,525.0,15.75
6.75,9.0,0.9971176476317134,0.4519832985386222,1.0069327738851404,196.5858954396942,525.0,15.75
6.0,10.0,0.9981801654820468,0.4519832985386222,1.0063838370082216,196.54107649934033,525.0,16.0
7.25,8.0,0.9950883692701079,0.45093945720250517,1.0071927940280812,196.87621766339873,526.0,15.25
7.0,8.5,0.9961324649380936,0.45093945720250517,1.0071884825893087,196.61005328065252,526.0,15.5
6.25,9.75,0.9980021314629682,0.44885177453027136,1.0065521287811996,196.49200203051876,528.0,16.0
6.5,9.5,0.9977850511410339,0.44885177453027136,1.006746684695619,196.47230977415393,528.0,16.0
7.25,8.25,0.995629411468662,0.44572025052192066,1.007334926776509,196.80819396608118,531.0,15.5
6.75,9.25,0.9975653429244237,0.44572025052192066,1.0068958053557973,196.59400536601706,531.0,16.0
7.0,8.75,0.9966931011447312,0.44467640918580376,1.0072102603526996,196.5952845744502,532.0,15.75
6.25,10.0,0.9982609949744816,0.44363256784968685,1.0066772052049833,196.55162474824832,533.0,16.25
6.5,9.75,0.9980337271530005,0.44258872651356995,1.006906863922154,196.49108947261442,534.0,16.25
6.75,9.5,0.9978622727146023,0.44258872651356995,1.0070080175680554,196.4873196372352,534.0,16.25
