ptcone_max,etcone_max,OS_sig_eff,SS_rejection,OS_Data/MC,OS_S/B,SS_Data
0.0,0.0,0.0,1.0,,inf,0.0
0.0,0.25,0.0,1.0,,inf,0.0
0.0,0.5,0.0,1.0,,inf,0.0
0.0,0.75,0.0,1.0,,inf,0.0
0.0,1.0,0.0,1.0,,inf,0.0
0.0,1.25,0.0,1.0,,inf,0.0
0.0,1.5,0.0,1.0,,inf,0.0
0.0,1.75,0.0,1.0,,inf,0.0
0.0,2.0,0.0,1.0,,inf,0.0
0.0,2.25,0.0,1.0,,inf,0.0
0.0,2.5,0.0,1.0,,inf,0.0
0.0,2.75,0.0,1.0,,inf,0.0
0.0,3.0,0.0,1.0,,inf,0.0
0.0,3.25,0.0,1.0,,inf,0.0
0.0,3.5,0.0,1.0,,inf,0.0
0.0,3.75,0.0,1.0,,inf,0.0
0.0,4.0,0.0,1.0,,inf,0.0
0.0,4.25,0.0,1.0,,inf,0.0
0.0,4.5,0.0,1.0,,inf,0.0
0.0,4.75,0.0,1.0,,inf,0.0
0.0,5.0,0.0,1.0,,inf,0.0
0.0,5.25,0.0,1.0,,inf,0.0
0.0,5.5,0.0,1.0,,inf,0.0
0.0,5.75,0.0,1.0,,inf,0.0
0.0,6.0,0.0,1.0,,inf,0.0
0.0,6.25,0.0,1.0,,inf,0.0
0.0,6.5,0.0,1.0,,inf,0.0
0.0,6.75,0.0,1.0,,inf,0.0
0.0,7.0,0.0,1.0,,inf,0.0
0.0,7.25,0.0,1.0,,inf,0.0
0.0,7.5,0.0,1.0,,inf,0.0
0.0,7.75,0.0,1.0,,inf,0.0
0.0,8.0,0.0,1.0,,inf,0.0
0.0,8.25,0.0,1.0,,inf,0.0
0.0,8.5,0.0,1.0,,inf,0.0
0.0,8.75,0.0,1.0,,inf,0.0
0.0,9.0,0.0,1.0,,inf,0.0
0.0,9.25,0.0,1.0,,inf,0.0
0.0,9.5,0.0,1.0,,inf,0.0
0.0,9.75,0.0,1.0,,inf,0.0
0.0,10.0,0.0,1.0,,inf,0.0
0.25,0.0,0.13642175294020834,0.9343837064079162,0.8758755875539541,142.2514218703797,683.0
0.25,0.25,0.22299830972883483,0.8806801806129311,0.9483334455826488,152.16719105651546,1242.0
0.25,0.5,0.3165144653346796,0.8190988567585743,0.9680220107819405,154.33617073386208,1883.0
0.25,0.75,0.40441141730922975,0.7605917955615333,0.9718630462374181,162.8764101567769,2492.0
0.25,1.0,0.48525688993171656,0.7008358151599577,0.96604243861976,161.98883734514754,3114.0
0.25,1.25,0.5544432109999544,0.648285137861466,0.9612551523806236,165.09023621394195,3661.0
0.25,1.5,0.613773622152085,0.6055336727831684,0.9548132197913652,166.39437277539847,4106.0
0.25,1.75,0.6628500765524222,0.5688346623114613,0.9490511203102944,165.93417026266394,4488.0
0.25,2.0,0.7034236247885485,0.5371313286578923,0.9438690576507642,164.7809455007782,4818.0
0.25,2.25,0.7365927112898757,0.5113843789028725,0.9387560098020047,162.53177095473018,5086.0
0.25,2.5,0.7631377232436081,0.48803919684888075,0.9344033038355539,162.9135099247582,5329.0
0.25,2.75,0.7842661474437039,0.47295609568642516,0.9312020835536754,162.15610031175893,5486.0
0.25,3.0,0.8020985395971322,0.45979440868479204,0.9278480895567961,160.40889624518869,5623.0
0.25,3.25,0.8159186227050849,0.4479777115957344,0.9256164578647558,160.10249282204683,5746.0
0.25,3.5,0.8273505929993396,0.43635315592275914,0.9231307177510008,159.36968209546228,5867.0
0.25,3.75,0.8360743658674656,0.42751465078297624,0.9219830051247931,157.6694225723531,5959.0
0.25,4.0,0.8432167261650363,0.4205014890959746,0.9206908387184994,157.1229142659092,6032.0
0.25,4.25,0.8496587622815649,0.41598616581804204,0.9189002143773313,156.89273259609647,6079.0
0.25,4.5,0.8544274270743714,0.41195119608031516,0.9179548028083694,156.4673655006519,6121.0
0.25,4.75,0.8585279042625783,0.408588721298876,0.916966462951193,155.99315485961316,6156.0
0.25,5.0,0.8613647610878299,0.40541838793351903,0.9164616602686031,155.10488725754595,6189.0
0.25,5.25,0.864094307991694,0.40349697377269667,0.9156323589368103,154.9704357787197,6209.0
0.25,5.5,0.8659553445474567,0.4016716303199155,0.9155680436555675,154.46578886627967,6228.0
0.25,5.75,0.867756733829009,0.3992698626188875,0.9151419125172638,154.0303884840498,6253.0
0.25,6.0,0.8693199489253676,0.39734844845806516,0.9148659012845567,153.94223557403592,6273.0
0.25,6.25,0.8706209472595727,0.39600345854548946,0.9144958109357664,153.60397271355393,6287.0
0.25,6.5,0.8716922767855422,0.39475453934095495,0.9143290826016821,153.30563979204769,6300.0
0.25,6.75,0.8725745188570511,0.3931213373042559,0.9142207053530776,153.07028516839887,6317.0
0.25,7.0,0.8734105691550743,0.39129599385147473,0.9140379157796039,152.7572691144866,6336.0
0.25,7.25,0.8741314194657812,0.39071956960322796,0.9138657590485109,152.37379165383712,6342.0
0.25,7.5,0.8748848562003231,0.3895667211067345,0.913634284266102,152.29461084858636,6354.0
0.25,7.75,0.8753547607328325,0.3891824382745701,0.9136120052997021,152.1565859466238,6358.0
0.25,8.0,0.8757458818672754,0.38860601402632333,0.9136235736950641,151.92939634486223,6364.0
0.25,8.25,0.8761623973496795,0.3879335190700356,0.9135922938075152,151.73032155751008,6371.0
0.25,8.5,0.8765678635801113,0.38774137765395333,0.9135147736736723,151.64435218519077,6373.0
0.25,8.75,0.8769262557483546,0.3870688826976655,0.9133731850607157,150.58930087201549,6380.0
0.25,9.0,0.8772950037469467,0.38639638774137763,0.9133181360707308,150.5421879990418,6387.0
0.25,9.25,0.8776706832263024,0.38591603420117204,0.9132041675904186,150.50631906528997,6392.0
0.25,9.5,0.8779919373671949,0.3853396099529254,0.9131353809558521,150.49314432230474,6398.0
0.25,9.75,0.8782516460011107,0.3851474685368431,0.9131050709236775,150.40008903010295,6400.0
0.25,10.0,0.8784130138351371,0.38447497358055527,0.9131179999908016,150.32232316456358,6407.0
0.5,0.0,0.13642175294020834,0.9343837064079162,0.8758755875539541,142.2514218703797,683.0
0.5,0.25,0.22299830972883483,0.8806801806129311,0.9483334455826488,152.16719105651546,1242.0
0.5,0.5,0.3165144653346796,0.8190988567585743,0.9680220107819405,154.33617073386208,1883.0
0.5,0.75,0.40441141730922975,0.7605917955615333,0.9718630462374181,162.8764101567769,2492.0
0.5,1.0,0.48525688993171656,0.7008358151599577,0.96604243861976,161.98883734514754,3114.0
0.5,1.25,0.5544432109999544,0.648285137861466,0.9612551523806236,165.09023621394195,3661.0
0.5,1.5,0.613773622152085,0.6055336727831684,0.9548132197913652,166.39437277539847,4106.0
0.5,1.75,0.6628500765524222,0.5688346623114613,0.9490511203102944,165.93417026266394,4488.0
0.5,2.0,0.7034236247885485,0.5371313286578923,0.9438690576507642,164.7809455007782,4818.0
0.5,2.25,0.7365927112898757,0.5113843789028725,0.9387560098020047,162.53177095473018,5086.0
0.5,2.5,0.7631377232436081,0.48803919684888075,0.9344033038355539,162.9135099247582,5329.0
0.5,2.75,0.7842661474437039,0.47295609568642516,0.9312020835536754,162.15610031175893,5486.0
0.5,3.0,0.8020985395971322,0.45979440868479204,0.9278480895567961,160.40889624518869,5623.0
0.5,3.25,0.8159186227050849,0.4479777115957344,0.9256164578647558,160.10249282204683,5746.0
0.5,3.5,0.8273505929993396,0.43635315592275914,0.9231307177510008,159.36968209546228,5867.0
0.5,3.75,0.8360743658674656,0.42751465078297624,0.9219830051247931,157.6694225723531,5959.0
0.5,4.0,0.8432167261650363,0.4205014890959746,0.9206908387184994,157.1229142659092,6032.0
0.5,4.25,0.8496587622815649,0.41598616581804204,0.9189002143773313,156.89273259609647,6079.0
0.5,4.5,0.8544274270743714,0.41195119608031516,0.9179548028083694,156.4673655006519,6121.0
0.5,4.75,0.8585279042625783,0.408588721298876,0.916966462951193,155.99315485961316,6156.0
0.5,5.0,0.8613647610878299,0.40541838793351903,0.9164616602686031,155.10488725754595,6189.0
0.5,5.25,0.864094307991694,0.40349697377269667,0.9156323589368103,154.9704357787197,6209.0
0.5,5.5,0.8659553445474567,0.4016716303199155,0.9155680436555675,154.46578886627967,6228.0
0.5,5.75,0.867756733829009,0.3992698626188875,0.9151419125172638,154.0303884840498,6253.0
0.5,6.0,0.8693199489253676,0.39734844845806516,0.9148659012845567,153.94223557403592,6273.0
0.5,6.25,0.8706209472595727,0.39600345854548946,0.9144958109357664,153.60397271355393,6287.0
0.5,6.5,0.8716922767855422,0.39475453934095495,0.9143290826016821,153.30563979204769,6300.0
0.5,6.75,0.8725745188570511,0.3931213373042559,0.9142207053530776,153.07028516839887,6317.0
0.5,7.0,0.8734105691550743,0.39129599385147473,0.9140379157796039,152.7572691144866,6336.0
0.5,7.25,0.8741314194657812,0.39071956960322796,0.9138657590485109,152.37379165383712,6342.0
0.5,7.5,0.8748848562003231,0.3895667211067345,0.913634284266102,152.29461084858636,6354.0
0.5,7.75,0.8753547607328325,0.3891824382745701,0.9136120052997021,152.1565859466238,6358.0
0.5,8.0,0.8757458818672754,0.38860601402632333,0.9136235736950641,151.92939634486223,6364.0
