Step,Data,Signal,Background,S/B,Data/MC
Baseline,29597341.0,26338967.014130034,258351.4893366066,101.95012647987079,1.1127941711921954
Mass window,26266156.0,24561765.011028,77841.94549650888,315.53380191569806,1.0660135953607321
Iso only,28291988.0,26209034.95904808,256428.40549653413,102.20800191109218,1.069015403595856
Mass + Iso,25816237.0,24438044.010613825,77183.44059119519,316.62288987673907,1.0530694463832533
