Step,Data,Signal,Background,S/B,Data/MC
Baseline,153341.0,417.5604798767642,5433.832888918472,0.07684455676366479,26.205894961317888
Mass window,36914.0,128.78185401727092,1459.7528687414263,0.08822168243334531,23.23776715179007
Iso only,81875.0,417.68361065515353,5295.08341259692,0.07888140339045288,14.331934011443632
Mass + Iso,18558.0,128.36973772597264,1401.556205795505,0.09159085964241559,12.129998892158453
