variation,mass_low,mass_high,extra_bkg,sigma_pb,sigma_shift_from_nominal_pb
68.0_114.0,68.0,114.0,10432.579572449396,2247.7145985696266,0.4103912766559006
64.0_118.0,64.0,118.0,12242.964136023604,2246.7830166306003,-0.5211906623703726
70.0_112.0,70.0,112.0,9645.507982130213,2248.1825085162513,0.8783012232806868
62.0_120.0,62.0,120.0,13327.724824193512,2246.308928838518,-0.9952784544525457
