Step,Data,Signal,Background,S/B,Data/MC
Baseline,570369.0,528405.6373256169,5143.18206196322,102.73904966994645,1.0690099561173856
Mass window,511003.0,500222.0826939581,2552.1462868203,196.0005526631395,1.0163667319144478
Iso only,541549.0,525999.6465656935,5104.958906242265,103.03699916614595,1.0196654188656176
Mass + Iso,502170.0,497865.83653669275,2529.0956642052797,196.85528055860934,1.0035473336856044
