,best
ptcone_max,4.5
etcone_max,9.25
OS_sig_eff,0.9952895998821649
SS_rejection,0.5323590814196242
OS_Data/MC,1.0035473336856044
OS_S/B,196.85528055860934
SS_Data,448.0
tightness,13.75
