,best
ptcone_max,4.5
etcone_max,9.25
OS_sig_eff,0.995349187822985
SS_rejection,0.5450928381962865
OS_Data/MC,1.0025752233255558
OS_S/B,313.2642410788991
SS_Data,343.0
tightness,13.75
