Step,Data,Signal,Background,S/B,Data/MC
Baseline,21816133.0,21178849.752137803,383028.7493401015,55.293107341487136,1.011791852852926
Mass window,19709602.0,19773347.312475838,108619.15243549415,182.04291664141525,0.991330612833719
Iso only,21144802.0,20802506.38425841,323474.80255075335,64.30951103523586,1.00089088468954
Mass + Iso,19390459.0,19459149.152745858,91023.60527765799,213.78134928173586,0.9918305705018403
