Step,Data,Signal,Background,S/B,Data/MC
Baseline,387416.0,269817.857161489,96096.1677266012,2.8077899831462108,1.0587623694349673
Mass window,240030.0,242160.86918514775,25492.881885785297,9.499156284883407,0.8967929612030273
Iso only,302375.0,262350.99320678867,58791.712345759996,4.4623805420715765,0.9415596081491016
Mass + Iso,216569.0,237787.98771890101,14367.87506844581,16.549976011492618,0.8588695801320366
