,best
ptcone_max,3.75
etcone_max,9.0
OS_sig_eff,0.9801454159063057
SS_rejection,0.203963846237613
OS_Data/MC,0.9433332288829064
OS_S/B,192.22183762671307
SS_Data,7310.0
tightness,12.75
