ptcone_max,etcone_max,OS_sig_eff,SS_rejection,OS_Data/MC,OS_S/B,SS_Data,tightness
3.75,9.0,0.9801454159063057,0.203963846237613,0.9433332288829064,192.22183762671307,7310.0,12.75
3.75,9.25,0.9805601338132386,0.20320156811499512,0.9432395111835663,192.0396352332308,7317.0,13.0
4.0,8.25,0.9803634575043619,0.2027659806163563,0.9438753959785869,190.8410660149346,7321.0,12.25
3.75,9.5,0.9809350161262917,0.20243928999237726,0.9431519165332657,192.0117997076085,7324.0,13.25
4.0,8.5,0.9808536448436268,0.2021125993683981,0.9437805190155875,190.54779857952497,7327.0,12.5
3.75,9.75,0.9812218106002492,0.20200370249373845,0.9431415258240868,191.86603476093893,7328.0,13.5
4.25,7.5,0.9801502424289384,0.2016770118697594,0.9441150611689657,191.03222313751164,7331.0,11.75
3.75,10.0,0.9814210135211022,0.20124142437112058,0.9431306626024076,191.76856550316995,7335.0,13.75
4.0,8.75,0.9812488168718386,0.20091473374714142,0.9436974758527327,189.88731460405137,7338.0,12.75
4.25,7.75,0.9806899051401782,0.20047914624850272,0.9441207082581046,190.5256399384113,7342.0,12.0
4.5,7.25,0.9801863440685047,0.20015245562452355,0.9445810995919606,189.49193508437236,7345.0,11.75
4.0,9.0,0.9816555990580791,0.19993466187520414,0.9436706736986042,189.82001331233087,7347.0,13.0
4.25,8.0,0.9811747052275912,0.1996079712512251,0.9441263834419156,190.166701884749,7350.0,12.25
4.0,9.25,0.9820708878517683,0.19917238375258628,0.9435786747723838,189.64371656889196,7354.0,13.25
4.25,8.25,0.9816516960465764,0.19873679625394747,0.9441166409102391,189.7101926106984,7358.0,12.5
4.5,7.5,0.9810674158557754,0.19862789937928782,0.944348135305786,189.25036295545047,7359.0,12.0
4.0,9.5,0.982449785018673,0.19841010562996841,0.9434895111755727,189.5317823947177,7361.0,13.5
4.25,8.5,0.982142153366476,0.1979745181313296,0.9440223784398205,189.36826241086288,7365.0,12.75
4.0,9.75,0.9827384953220197,0.19786562125666995,0.9434757707303961,189.33615488176542,7366.0,13.75
4.75,7.0,0.9802281621860185,0.1975389306326908,0.9449765223280939,189.19677581895215,7369.0,11.75
4.5,7.75,0.9816228580611147,0.19743003375803114,0.944337687043689,188.72509704979836,7370.0,12.25
4.0,10.0,0.9829382255721918,0.19699444625939233,0.9434663825304856,189.23334230719294,7374.0,14.0
4.25,8.75,0.982537849926988,0.19655885876075352,0.9439411011276607,188.7173377619329,7378.0,13.0
5.0,6.75,0.9801430200220929,0.19644996188609387,0.9452270150655461,187.01914313523244,7379.0,11.75
4.5,8.0,0.9821322699257204,0.19634106501143422,0.9443244778796738,188.3884413071553,7380.0,12.5
4.75,7.25,0.9811173181978823,0.19601437438745506,0.9447628960701916,188.45531163937588,7383.0,12.0
4.25,9.0,0.9829446321132285,0.19557878688881625,0.9439163048311924,188.64441424532583,7387.0,13.25
4.5,8.25,0.9826084766624481,0.1954698900141566,0.9443183405367394,187.96740719705957,7388.0,12.75
5.25,6.75,0.980769521910826,0.19470761189153873,0.9454064898192351,184.23592037059484,7395.0,12.0
4.5,8.5,0.9830992149925889,0.19470761189153873,0.9442260592069655,187.63296306022593,7395.0,13.0
4.25,9.25,0.9833602267138851,0.19470761189153873,0.9438274783559332,188.43079404319633,7395.0,13.5
4.75,7.5,0.9819984413568034,0.19438092126755957,0.9445322042704186,188.21753241465782,7398.0,12.25
5.0,7.0,0.9811404956084723,0.19405423064358052,0.9450475152888015,187.75682475336853,7401.0,12.0
4.25,9.5,0.9837405019482736,0.19394533376892087,0.9437370229833841,188.3211588889076,7402.0,13.75
5.5,6.5,0.9802663339645807,0.19350974627028206,0.9457189339084302,183.7141099270612,7406.0,12.0
4.5,8.75,0.9834951687721681,0.19329195252096265,0.944143510359651,186.9571543096608,7408.0,13.25
4.25,9.75,0.9840292809934711,0.19329195252096265,0.9437217036410995,188.07369141265315,7408.0,14.0
4.75,7.75,0.9825551228250214,0.193183055646303,0.944519246935401,187.65326041537494,7409.0,12.5
5.0,7.25,0.9820301713139259,0.19252967439834479,0.9448304218558367,186.9129152557727,7415.0,12.25
4.25,10.0,0.9842288638564255,0.19242077752368503,0.9437214310663247,187.97260400963057,7416.0,14.25
5.25,7.0,0.9817746816395234,0.19231188064902538,0.9452218885871261,184.9573027475959,7417.0,12.25
4.5,9.0,0.9839037442786442,0.19220298377436562,0.9441191976095105,186.88671514966464,7418.0,13.5
4.75,8.0,0.9830694518838797,0.19209408689970597,0.944505767430415,187.32221677014294,7419.0,12.75
5.5,6.75,0.9813169593766996,0.1913318087770881,0.9456149783964545,182.91292115107885,7426.0,12.25
4.5,9.25,0.9843207215576024,0.1913318087770881,0.9440313091576445,186.67825487080384,7426.0,13.75
4.75,8.25,0.9835465751798868,0.19122291190242835,0.9444964284206173,186.8236680297822,7427.0,13.0
5.75,6.5,0.980751752343524,0.1911140150277687,0.9458701618649404,182.3384356638485,7428.0,12.25
5.0,7.5,0.982911999471264,0.1908962212784493,0.9445965575803946,186.58204868260444,7430.0,12.5
5.25,7.25,0.9826649624404575,0.19078732440378965,0.9450096763604152,184.175757628565,7431.0,12.5
4.5,9.5,0.9847010088925406,0.19056953065447024,0.9439350833258232,186.3576690711331,7433.0,14.0
4.75,8.5,0.9840373135100275,0.19046063377981048,0.94440864691618,186.49386693536073,7434.0,13.25
4.5,9.75,0.9849906528748418,0.18991614940651202,0.9439233986777287,186.1162993201142,7439.0,14.25
5.0,7.75,0.9834793036331235,0.18969835565719262,0.9445801397498279,186.0290383246946,7441.0,12.75
5.25,7.5,0.9835432500219528,0.18915387128389416,0.9447897036271712,183.82873032546323,7446.0,12.75
4.75,8.75,0.9844422911300102,0.1890449744092344,0.944315323759699,185.74930622786889,7447.0,13.5
4.5,10.0,0.985188054318389,0.1890449744092344,0.9439274147627047,186.0173812231558,7447.0,14.5
5.5,7.0,0.9823225913656227,0.1888271806599151,0.9454298159850018,183.62463775336664,7449.0,12.5
5.75,6.75,0.9818024547086404,0.1888271806599151,0.9457679175450467,181.5382814380283,7449.0,12.5
6.25,6.25,0.9801805807499476,0.18871828378525535,0.9462716776842588,177.04936772254598,7450.0,12.5
5.0,8.0,0.9839936916734247,0.1886093869105957,0.9445732795260549,185.7024193286097,7451.0,13.0
