ptcone_max,etcone_max,OS_sig_eff,SS_rejection,OS_Data/MC,OS_S/B,SS_Data
0.0,0.0,0.0,1.0,,inf,0.0
0.0,0.25,0.0,1.0,,inf,0.0
0.0,0.5,0.0,1.0,,inf,0.0
0.0,0.75,0.0,1.0,,inf,0.0
0.0,1.0,0.0,1.0,,inf,0.0
0.0,1.25,0.0,1.0,,inf,0.0
0.0,1.5,0.0,1.0,,inf,0.0
0.0,1.75,0.0,1.0,,inf,0.0
0.0,2.0,0.0,1.0,,inf,0.0
0.0,2.25,0.0,1.0,,inf,0.0
0.0,2.5,0.0,1.0,,inf,0.0
0.0,2.75,0.0,1.0,,inf,0.0
0.0,3.0,0.0,1.0,,inf,0.0
0.0,3.25,0.0,1.0,,inf,0.0
0.0,3.5,0.0,1.0,,inf,0.0
0.0,3.75,0.0,1.0,,inf,0.0
0.0,4.0,0.0,1.0,,inf,0.0
0.0,4.25,0.0,1.0,,inf,0.0
0.0,4.5,0.0,1.0,,inf,0.0
0.0,4.75,0.0,1.0,,inf,0.0
0.0,5.0,0.0,1.0,,inf,0.0
0.0,5.25,0.0,1.0,,inf,0.0
0.0,5.5,0.0,1.0,,inf,0.0
0.0,5.75,0.0,1.0,,inf,0.0
0.0,6.0,0.0,1.0,,inf,0.0
0.0,6.25,0.0,1.0,,inf,0.0
0.0,6.5,0.0,1.0,,inf,0.0
0.0,6.75,0.0,1.0,,inf,0.0
0.0,7.0,0.0,1.0,,inf,0.0
0.0,7.25,0.0,1.0,,inf,0.0
0.0,7.5,0.0,1.0,,inf,0.0
0.0,7.75,0.0,1.0,,inf,0.0
0.0,8.0,0.0,1.0,,inf,0.0
0.0,8.25,0.0,1.0,,inf,0.0
0.0,8.5,0.0,1.0,,inf,0.0
0.0,8.75,0.0,1.0,,inf,0.0
0.0,9.0,0.0,1.0,,inf,0.0
0.0,9.25,0.0,1.0,,inf,0.0
0.0,9.5,0.0,1.0,,inf,0.0
0.0,9.75,0.0,1.0,,inf,0.0
0.0,10.0,0.0,1.0,,inf,0.0
0.25,0.0,0.13616646045945893,0.9297615158444953,0.8741472359718836,237.34704888290037,645.0
0.25,0.25,0.22260360991616993,0.8712838941522378,0.9473640070590917,245.39007956414372,1182.0
0.25,0.5,0.3162653868822212,0.8051834912338016,0.9667647462424459,240.2961846139729,1789.0
0.25,0.75,0.40417875290707345,0.741696613307198,0.9707128395288465,256.9360884117945,2372.0
0.25,1.0,0.4850508417186721,0.6779919416312752,0.965019681175764,252.81051544286692,2957.0
0.25,1.25,0.5541697998616277,0.6212566699335729,0.9601920776569316,256.0563800481339,3478.0
0.25,1.5,0.613458947054546,0.5751932919525209,0.9537525992755378,259.650330543593,3901.0
0.25,1.75,0.6626236184299029,0.5360993139496897,0.9479033301945827,260.5539196725409,4260.0
0.25,2.0,0.7031526557784922,0.5020145921812045,0.9428045767655796,261.30202597650305,4573.0
0.25,2.25,0.7362849871220556,0.47391919851900255,0.9377330593880557,256.78987075014214,4831.0
0.25,2.5,0.7628143788629351,0.4486551235979528,0.9333619360935872,258.1023426250783,5063.0
0.25,2.75,0.7839032278777373,0.4324294892736579,0.9301318331983235,255.82185334557013,5212.0
0.25,3.0,0.8017132487168477,0.41892627681585537,0.9268022793296637,253.15010505639873,5336.0
0.25,3.25,0.8155295578445806,0.40640313622999025,0.9244891491545336,252.13541960844557,5451.0
0.25,3.5,0.8269283325107942,0.39377109876946537,0.9219999152589559,251.10471743131043,5567.0
0.25,3.75,0.8356685041559588,0.38440596754873135,0.9208373330817081,248.09634144251655,5653.0
0.25,4.0,0.8428077455797465,0.3770009800718719,0.9195375546257906,247.42826189734404,5721.0
0.25,4.25,0.8492247529576825,0.3724273113361647,0.9177883627521122,248.36942813784157,5763.0
0.25,4.5,0.8539570788479535,0.3687248175977349,0.9168613285492839,248.0917027914785,5797.0
0.25,4.75,0.8580571044632609,0.3649134269846456,0.9158483358498248,247.47292567047936,5832.0
0.25,5.0,0.8608685379354664,0.3614287269955352,0.9153508632434342,247.0741906080705,5864.0
0.25,5.25,0.8636179439856235,0.35946858325166064,0.9144958130002033,247.04245848904998,5882.0
0.25,5.5,0.8654748571756907,0.35739954263312645,0.9144450793136703,246.52294887570676,5901.0
0.25,5.75,0.8672775433267723,0.3550038113906131,0.9140098006215431,245.73389195047451,5923.0
0.25,6.0,0.8688387833594091,0.353588152020037,0.9137018315561795,245.75854702736166,5936.0
0.25,6.25,0.8701359915578095,0.35239028639878034,0.9133328305877164,245.11404158795648,5947.0
0.25,6.5,0.8712247420588173,0.351083523902864,0.9131387906277353,245.2316041165303,5959.0
0.25,6.75,0.8721167969867399,0.3497767614069476,0.9130050965474515,244.78399700473565,5971.0
0.25,7.0,0.8729371656585617,0.3483611020363716,0.912829199752725,244.4773729178759,5984.0
0.25,7.25,0.8736695408025286,0.3479255145377328,0.9126406811106571,243.62904835659626,5988.0
0.25,7.5,0.8744235570058277,0.3467276489164761,0.9124019057771954,243.44451480536,5999.0
0.25,7.75,0.8748884073599014,0.34640095829249695,0.9123936529417069,243.40543866070237,6002.0
0.25,8.0,0.8752745242886497,0.3458564739191985,0.9123982912113281,242.99094139382785,6007.0
0.25,8.25,0.8756768879304375,0.3452030926712404,0.912378379212953,242.74180895626733,6013.0
0.25,8.5,0.8760776982315753,0.344985298921921,0.9123008319007281,242.59409444216337,6015.0
0.25,8.75,0.876440126178009,0.34433191767396276,0.9121929355549752,242.31939382309375,6021.0
0.25,9.0,0.8768135535489763,0.34367853642600454,0.9121270507370162,242.3846031867773,6027.0
0.25,9.25,0.8771891536262328,0.3431340520527061,0.9120152357364605,242.4047350513441,6032.0
0.25,9.5,0.8775053551755069,0.3425895676794076,0.9119389256137006,242.35921214116087,6037.0
0.25,9.75,0.8777626785723355,0.34248067080474787,0.9119111667785539,242.3123487510691,6038.0
0.25,10.0,0.8779178210180554,0.34171839268213,0.9119201714645673,242.19439539728936,6045.0
0.5,0.0,0.13616646045945893,0.9297615158444953,0.8741472359718836,237.34704888290037,645.0
0.5,0.25,0.22260360991616993,0.8712838941522378,0.9473640070590917,245.39007956414372,1182.0
0.5,0.5,0.3162653868822212,0.8051834912338016,0.9667647462424459,240.2961846139729,1789.0
0.5,0.75,0.40417875290707345,0.741696613307198,0.9707128395288465,256.9360884117945,2372.0
0.5,1.0,0.4850508417186721,0.6779919416312752,0.965019681175764,252.81051544286692,2957.0
0.5,1.25,0.5541697998616277,0.6212566699335729,0.9601920776569316,256.0563800481339,3478.0
0.5,1.5,0.613458947054546,0.5751932919525209,0.9537525992755378,259.650330543593,3901.0
0.5,1.75,0.6626236184299029,0.5360993139496897,0.9479033301945827,260.5539196725409,4260.0
0.5,2.0,0.7031526557784922,0.5020145921812045,0.9428045767655796,261.30202597650305,4573.0
0.5,2.25,0.7362849871220556,0.47391919851900255,0.9377330593880557,256.78987075014214,4831.0
0.5,2.5,0.7628143788629351,0.4486551235979528,0.9333619360935872,258.1023426250783,5063.0
0.5,2.75,0.7839032278777373,0.4324294892736579,0.9301318331983235,255.82185334557013,5212.0
0.5,3.0,0.8017132487168477,0.41892627681585537,0.9268022793296637,253.15010505639873,5336.0
0.5,3.25,0.8155295578445806,0.40640313622999025,0.9244891491545336,252.13541960844557,5451.0
0.5,3.5,0.8269283325107942,0.39377109876946537,0.9219999152589559,251.10471743131043,5567.0
0.5,3.75,0.8356685041559588,0.38440596754873135,0.9208373330817081,248.09634144251655,5653.0
0.5,4.0,0.8428077455797465,0.3770009800718719,0.9195375546257906,247.42826189734404,5721.0
0.5,4.25,0.8492247529576825,0.3724273113361647,0.9177883627521122,248.36942813784157,5763.0
0.5,4.5,0.8539570788479535,0.3687248175977349,0.9168613285492839,248.0917027914785,5797.0
0.5,4.75,0.8580571044632609,0.3649134269846456,0.9158483358498248,247.47292567047936,5832.0
0.5,5.0,0.8608685379354664,0.3614287269955352,0.9153508632434342,247.0741906080705,5864.0
0.5,5.25,0.8636179439856235,0.35946858325166064,0.9144958130002033,247.04245848904998,5882.0
0.5,5.5,0.8654748571756907,0.35739954263312645,0.9144450793136703,246.52294887570676,5901.0
0.5,5.75,0.8672775433267723,0.3550038113906131,0.9140098006215431,245.73389195047451,5923.0
0.5,6.0,0.8688387833594091,0.353588152020037,0.9137018315561795,245.75854702736166,5936.0
0.5,6.25,0.8701359915578095,0.35239028639878034,0.9133328305877164,245.11404158795648,5947.0
0.5,6.5,0.8712247420588173,0.351083523902864,0.9131387906277353,245.2316041165303,5959.0
0.5,6.75,0.8721167969867399,0.3497767614069476,0.9130050965474515,244.78399700473565,5971.0
0.5,7.0,0.8729371656585617,0.3483611020363716,0.912829199752725,244.4773729178759,5984.0
0.5,7.25,0.8736695408025286,0.3479255145377328,0.9126406811106571,243.62904835659626,5988.0
0.5,7.5,0.8744235570058277,0.3467276489164761,0.9124019057771954,243.44451480536,5999.0
0.5,7.75,0.8748884073599014,0.34640095829249695,0.9123936529417069,243.40543866070237,6002.0
0.5,8.0,0.8752745242886497,0.3458564739191985,0.9123982912113281,242.99094139382785,6007.0
